date_key,full_date,year,quarter,month_number,month_name,month_short,week_of_year,day_of_week_number,day_of_week_name,day_of_week_short,day_of_month,weekday_indicator,year_quarter,year_month
20160709,2016-07-09,2016,3,7,July,Jul,27,6,Saturday,Sat,9,Weekend,2016-Q3,2016-07
20160710,2016-07-10,2016,3,7,July,Jul,27,7,Sunday,Sun,10,Weekend,2016-Q3,2016-07
20160711,2016-07-11,2016,3,7,July,Jul,28,1,Monday,Mon,11,Weekday,2016-Q3,2016-07
20160712,2016-07-12,2016,3,7,July,Jul,28,2,Tuesday,Tue,12,Weekday,2016-Q3,2016-07
20160713,2016-07-13,2016,3,7,July,Jul,28,3,Wednesday,Wed,13,Weekday,2016-Q3,2016-07
20160714,2016-07-14,2016,3,7,July,Jul,28,4,Thursday,Thu,14,Weekday,2016-Q3,2016-07
20160715,2016-07-15,2016,3,7,July,Jul,28,5,Friday,Fri,15,Weekday,2016-Q3,2016-07
20160716,2016-07-16,2016,3,7,July,Jul,28,6,Saturday,Sat,16,Weekend,2016-Q3,2016-07
20160717,2016-07-17,2016,3,7,July,Jul,28,7,Sunday,Sun,17,Weekend,2016-Q3,2016-07
20160718,2016-07-18,2016,3,7,July,Jul,29,1,Monday,Mon,18,Weekday,2016-Q3,2016-07
20160719,2016-07-19,2016,3,7,July,Jul,29,2,Tuesday,Tue,19,Weekday,2016-Q3,2016-07
20160720,2016-07-20,2016,3,7,July,Jul,29,3,Wednesday,Wed,20,Weekday,2016-Q3,2016-07
20160721,2016-07-21,2016,3,7,July,Jul,29,4,Thursday,Thu,21,Weekday,2016-Q3,2016-07
20160722,2016-07-22,2016,3,7,July,Jul,29,5,Friday,Fri,22,Weekday,2016-Q3,2016-07
20160723,2016-07-23,2016,3,7,July,Jul,29,6,Saturday,Sat,23,Weekend,2016-Q3,2016-07
20160724,2016-07-24,2016,3,7,July,Jul,29,7,Sunday,Sun,24,Weekend,2016-Q3,2016-07
20160725,2016-07-25,2016,3,7,July,Jul,30,1,Monday,Mon,25,Weekday,2016-Q3,2016-07
20160726,2016-07-26,2016,3,7,July,Jul,30,2,Tuesday,Tue,26,Weekday,2016-Q3,2016-07
20160727,2016-07-27,2016,3,7,July,Jul,30,3,Wednesday,Wed,27,Weekday,2016-Q3,2016-07
20160728,2016-07-28,2016,3,7,July,Jul,30,4,Thursday,Thu,28,Weekday,2016-Q3,2016-07
20160729,2016-07-29,2016,3,7,July,Jul,30,5,Friday,Fri,29,Weekday,2016-Q3,2016-07
20160730,2016-07-30,2016,3,7,July,Jul,30,6,Saturday,Sat,30,Weekend,2016-Q3,2016-07
20160731,2016-07-31,2016,3,7,July,Jul,30,7,Sunday,Sun,31,Weekend,2016-Q3,2016-07
20160801,2016-08-01,2016,3,8,August,Aug,31,1,Monday,Mon,1,Weekday,2016-Q3,2016-08
20160802,2016-08-02,2016,3,8,August,Aug,31,2,Tuesday,Tue,2,Weekday,2016-Q3,2016-08
20160803,2016-08-03,2016,3,8,August,Aug,31,3,Wednesday,Wed,3,Weekday,2016-Q3,2016-08
20160804,2016-08-04,2016,3,8,August,Aug,31,4,Thursday,Thu,4,Weekday,2016-Q3,2016-08
20160805,2016-08-05,2016,3,8,August,Aug,31,5,Friday,Fri,5,Weekday,2016-Q3,2016-08
20160806,2016-08-06,2016,3,8,August,Aug,31,6,Saturday,Sat,6,Weekend,2016-Q3,2016-08
20160807,2016-08-07,2016,3,8,August,Aug,31,7,Sunday,Sun,7,Weekend,2016-Q3,2016-08
20160808,2016-08-08,2016,3,8,August,Aug,32,1,Monday,Mon,8,Weekday,2016-Q3,2016-08
20160809,2016-08-09,2016,3,8,August,Aug,32,2,Tuesday,Tue,9,Weekday,2016-Q3,2016-08
20160810,2016-08-10,2016,3,8,August,Aug,32,3,Wednesday,Wed,10,Weekday,2016-Q3,2016-08
20160811,2016-08-11,2016,3,8,August,Aug,32,4,Thursday,Thu,11,Weekday,2016-Q3,2016-08
20160812,2016-08-12,2016,3,8,August,Aug,32,5,Friday,Fri,12,Weekday,2016-Q3,2016-08
20160813,2016-08-13,2016,3,8,August,Aug,32,6,Saturday,Sat,13,Weekend,2016-Q3,2016-08
20160814,2016-08-14,2016,3,8,August,Aug,32,7,Sunday,Sun,14,Weekend,2016-Q3,2016-08
20160815,2016-08-15,2016,3,8,August,Aug,33,1,Monday,Mon,15,Weekday,2016-Q3,2016-08
20160816,2016-08-16,2016,3,8,August,Aug,33,2,Tuesday,Tue,16,Weekday,2016-Q3,2016-08
20160817,2016-08-17,2016,3,8,August,Aug,33,3,Wednesday,Wed,17,Weekday,2016-Q3,2016-08
20160818,2016-08-18,2016,3,8,August,Aug,33,4,Thursday,Thu,18,Weekday,2016-Q3,2016-08
20160819,2016-08-19,2016,3,8,August,Aug,33,5,Friday,Fri,19,Weekday,2016-Q3,2016-08
20160820,2016-08-20,2016,3,8,August,Aug,33,6,Saturday,Sat,20,Weekend,2016-Q3,2016-08
20160821,2016-08-21,2016,3,8,August,Aug,33,7,Sunday,Sun,21,Weekend,2016-Q3,2016-08
20160822,2016-08-22,2016,3,8,August,Aug,34,1,Monday,Mon,22,Weekday,2016-Q3,2016-08
20160823,2016-08-23,2016,3,8,August,Aug,34,2,Tuesday,Tue,23,Weekday,2016-Q3,2016-08
20160824,2016-08-24,2016,3,8,August,Aug,34,3,Wednesday,Wed,24,Weekday,2016-Q3,2016-08
20160825,2016-08-25,2016,3,8,August,Aug,34,4,Thursday,Thu,25,Weekday,2016-Q3,2016-08
20160826,2016-08-26,2016,3,8,August,Aug,34,5,Friday,Fri,26,Weekday,2016-Q3,2016-08
20160827,2016-08-27,2016,3,8,August,Aug,34,6,Saturday,Sat,27,Weekend,2016-Q3,2016-08
20160828,2016-08-28,2016,3,8,August,Aug,34,7,Sunday,Sun,28,Weekend,2016-Q3,2016-08
20160829,2016-08-29,2016,3,8,August,Aug,35,1,Monday,Mon,29,Weekday,2016-Q3,2016-08
20160830,2016-08-30,2016,3,8,August,Aug,35,2,Tuesday,Tue,30,Weekday,2016-Q3,2016-08
20160831,2016-08-31,2016,3,8,August,Aug,35,3,Wednesday,Wed,31,Weekday,2016-Q3,2016-08
20160901,2016-09-01,2016,3,9,September,Sep,35,4,Thursday,Thu,1,Weekday,2016-Q3,2016-09
